Country;Life;AM;ID;HepB;Measles;BMI;U5D;Polio;TotalExpend;Diphth;HIV;GDP;P;TH119;TH59;S
Afghanistan;59,90;271,00;64,00;62,00;492,00;18,60;86,00;58,00;8,18;62,00;0,10;613,00;327582,00;17,50;0,50;10,00
Albania;77,50;8,00;;98,00;;57,20;1,00;98,00;5,88;98,00;0,10;4576,00;288914,00;1,30;0,80;14,20
Algeria;75,40;11,00;21,00;95,00;;58,40;24,00;95,00;7,21;95,00;0,10;548,00;39113313,00;5,80;0,70;14,40
Angola;51,70;348,00;67,00;64,00;11699,00;22,70;101,00;68,00;3,31;64,00;2,00;479,00;2692466,00;8,30;0,50;11,40
Argentina;76,20;118,00;8,00;94,00;1,00;62,20;9,00;92,00;4,79;94,00;0,10;12245,00;42981515,00;0,90;0,80;17,30
Armenia;74,60;12,00;1,00;93,00;13,00;54,10;1,00;95,00;4,48;93,00;0,10;3995,00;29622,00;2,10;0,70;12,70
Armenia;73,50;132,00;1,00;94,00;2,00;51,20;1,00;96,00;4,56;94,00;0,10;3218,00;2877311,00;2,10;0,70;12,30
Australia;82,70;6,00;1,00;91,00;340,00;66,10;1,00;92,00;9,42;92,00;0,10;62215,00;2346694,00;0,60;0,90;20,40
Austria;81,40;66,00;;98,00;117,00;57,10;;98,00;11,21;98,00;0,10;51323,00;8541575,00;2,00;0,90;15,90
Azerbaijan;72,50;119,00;5,00;94,00;;51,50;6,00;97,00;6,40;94,00;0,10;7891,00;953579,00;2,90;0,80;12,20
Bangladesh;71,40;132,00;98,00;97,00;289,00;17,70;121,00;97,00;2,82;97,00;0,10;185,00;15945279,00;18,60;0,60;10,00
Belarus;72,00;199,00;;97,00;64,00;61,70;;97,00;5,69;97,00;0,10;8318,00;9474511,00;2,00;0,80;15,70
Belgium;89,00;76,00;;98,00;70,00;63,40;1,00;99,00;1,59;99,00;0,10;47439,00;112957,00;1,00;0,90;16,30
Belize;70,00;177,00;;95,00;;5,10;;95,00;5,79;95,00;0,20;4852,00;351694,00;3,40;0,70;12,80
Benin;59,70;252,00;25,00;78,00;786,00;25,20;39,00;74,00;4,59;78,00;1,10;944,00;1286712,00;6,90;0,50;10,70
Bhutan;69,40;216,00;;99,00;;23,60;1,00;98,00;3,57;99,00;0,50;2523,00;776448,00;16,20;0,60;12,50
Bosnia and Herzegovina;77,20;89,00;;89,00;3000,00;55,30;;86,00;9,57;86,00;0,10;5194,00;35662,00;2,40;0,70;14,20
Botswana;65,10;268,00;2,00;95,00;1,00;37,30;2,00;96,00;5,41;95,00;2,30;7498,00;2168573,00;6,40;0,70;12,60
Brazil;74,80;144,00;44,00;96,00;876,00;55,30;49,00;96,00;8,32;93,00;0,10;1227,00;24213133,00;2,70;0,70;15,20
Bulgaria;74,30;138,00;1,00;95,00;;65,10;1,00;88,00;8,44;88,00;0,10;7853,00;7223938,00;1,90;0,80;14,80
Burkina Faso;59,30;268,00;39,00;91,00;343,00;18,80;63,00;91,00;4,96;91,00;0,60;75,00;17585977,00;7,70;0,40;7,70
Burundi;59,10;297,00;22,00;95,00;;18,20;32,00;95,00;7,54;95,00;0,70;313,00;989179,00;7,30;0,40;10,60
Cabo Verde;73,00;117,00;;97,00;;3,50;;95,00;4,76;95,00;0,20;3530,00;526437,00;6,70;0,60;13,50
Cambodia;68,30;179,00;11,00;88,00;;18,90;12,00;87,00;5,68;88,00;0,20;199,00;152779,00;11,00;0,60;10,90
Cameroon;56,70;366,00;47,00;87,00;831,00;28,40;71,00;86,00;4,10;87,00;3,70;1441,00;2223994,00;5,70;0,50;10,40
Canada;82,00;65,00;2,00;55,00;418,00;66,40;2,00;91,00;1,45;91,00;0,10;544,00;35544564,00;0,50;0,90;15,90
Central African Republic;58,00;437,00;15,00;47,00;210,00;22,10;22,00;47,00;4,20;47,00;4,50;377,00;4515392,00;8,30;0,30;7,10
Chad;52,60;362,00;46,00;37,00;1275,00;18,70;78,00;44,00;3,62;37,00;2,90;126,00;13569438,00;8,50;0,40;7,30
Chile;83,00;83,00;2,00;95,00;;63,10;2,00;95,00;7,79;95,00;0,10;14817,00;17613798,00;0,80;0,80;16,20
China;75,80;86,00;171,00;99,00;52628,00;31,90;198,00;99,00;5,55;99,00;0,10;7684,00;136427,00;3,00;0,70;13,10
Colombia;74,60;144,00;11,00;9,00;;57,20;12,00;9,00;7,20;9,00;0,10;7913,00;47791911,00;1,90;0,70;13,60
Comoros;63,20;23,00;1,00;88,00;;23,70;2,00;87,00;6,75;87,00;0,80;853,00;759385,00;6,60;0,50;11,10
Costa Rica;79,50;96,00;1,00;91,00;1,00;59,50;1,00;91,00;9,31;91,00;0,10;1647,00;4757575,00;1,70;0,80;13,90
Croatia;77,80;97,00;;95,00;;63,10;;95,00;7,80;95,00;0,10;13467,00;4238389,00;1,50;0,80;15,10
Cyprus;83,00;53,00;;96,00;10,00;59,80;;99,00;7,37;99,00;0,10;2735,00;115239,00;1,00;0,90;14,00
Djibouti;63,00;252,00;1,00;78,00;;34,40;1,00;78,00;1,57;78,00;2,10;175,00;912164,00;5,40;0,50;6,30
Dominican Republic;73,60;154,00;6,00;89,00;;57,90;7,00;9,00;4,38;91,00;0,30;6269,00;145844,00;3,20;0,70;13,20
Ecuador;76,00;121,00;6,00;83,00;;53,50;7,00;84,00;9,16;83,00;0,10;6432,00;1593112,00;1,10;0,70;14,00
El Salvador;73,30;181,00;2,00;93,00;;55,40;2,00;93,00;6,77;94,00;0,20;3989,00;6281189,00;1,60;0,70;13,20
Equatorial Guinea;57,90;32,00;3,00;2,00;13,00;24,00;4,00;24,00;3,80;2,00;4,40;193,00;1129424,00;8,40;0,60;9,20
Estonia;77,30;122,00;;93,00;;59,40;;93,00;6,38;93,00;0,10;19941,00;1314545,00;1,90;0,90;16,50
Ethiopia;64,20;234,00;140,00;77,00;12739,00;17,20;202,00;75,00;4,88;77,00;0,60;571,00;97366774,00;1,30;0,40;8,40
Fiji;69,70;19,00;;99,00;;61,90;;99,00;4,49;99,00;0,10;546,00;88586,00;3,70;0,70;15,20
France;82,20;79,00;3,00;83,00;267,00;62,00;3,00;98,00;11,54;98,00;0,10;42955,00;66331957,00;0,60;0,90;16,20
Gabon;65,50;237,00;2,00;7,00;33,00;35,80;3,00;68,00;3,44;7,00;2,80;9692,00;1875713,00;6,00;0,70;12,60
Georgia;74,50;125,00;1,00;91,00;3188,00;55,30;1,00;91,00;7,42;91,00;0,10;4430,00;3727,00;2,80;0,80;13,50
Germany;89,00;69,00;2,00;88,00;443,00;61,90;3,00;94,00;11,30;95,00;0,10;4793,00;89825,00;1,10;0,90;17,00
Ghana;62,10;253,00;37,00;98,00;124,00;28,00;54,00;93,00;3,56;98,00;0,80;1432,00;26962563,00;6,30;0,60;11,70
Greece;88,00;73,00;;96,00;1,00;66,00;;99,00;8,80;99,00;0,10;21674,00;1892413,00;0,70;0,90;17,20
Guatemala;71,70;187,00;10,00;73,00;;49,90;13,00;65,00;6,20;73,00;0,40;3688,00;15923559,00;1,20;0,60;10,70
Guinea;58,10;299,00;27,00;51,00;175,00;22,70;41,00;42,00;5,64;51,00;0,50;562,00;118559,00;7,40;0,40;8,60
Guinea-Bissau;58,40;282,00;4,00;87,00;1,00;25,60;6,00;87,00;5,59;87,00;3,40;643,00;1725744,00;7,10;0,40;9,20
Guyana;66,00;217,00;;98,00;;45,90;1,00;97,00;5,25;98,00;0,30;44,00;763393,00;5,30;0,60;10,30
Haiti;63,10;245,00;14,00;48,00;;48,80;19,00;55,00;7,56;48,00;0,50;83,00;1572466,00;3,90;0,50;9,10
Honduras;74,50;149,00;3,00;97,00;;5,20;4,00;97,00;8,72;97,00;0,30;2243,00;889216,00;2,10;0,60;11,40
India;68,00;184,00;957,00;79,00;79563,00;18,10;1200,00;84,00;4,69;85,00;0,20;1573,00;1293859294,00;27,40;0,60;11,60
Indonesia;68,90;179,00;119,00;78,00;12943,00;26,50;142,00;8,00;2,85;78,00;0,30;3492,00;255131116,00;1,20;0,70;12,90
Iraq;67,90;199,00;32,00;62,00;1317,00;58,50;39,00;67,00;5,54;64,00;0,10;674,00;3568,00;5,10;0,70;10,10
Ireland;81,20;66,00;;95,00;33,00;62,10;;96,00;7,78;96,00;0,10;5553,00;4617225,00;0,20;0,90;18,60
Israel;82,20;6,00;1,00;97,00;6,00;64,60;1,00;95,00;7,81;95,00;0,10;37583,00;82157,00;1,10;0,90;16,00
Italy;82,50;57,00;2,00;95,00;;63,10;2,00;95,00;9,25;95,00;0,10;35397,00;678914,00;0,60;0,90;16,30
Jamaica;75,80;133,00;1,00;92,00;;53,50;1,00;93,00;5,36;92,00;0,50;4856,00;286287,00;1,70;0,70;12,80
Jordan;74,00;113,00;4,00;98,00;20,00;64,80;4,00;98,00;7,45;98,00;0,10;467,00;88936,00;3,90;0,70;13,10
Kazakhstan;69,90;22,00;5,00;95,00;321,00;52,30;5,00;95,00;4,36;95,00;0,10;1287,00;17289224,00;2,50;0,80;15,00
Kenya;62,90;255,00;56,00;92,00;354,00;21,30;79,00;93,00;5,72;92,00;2,90;1336,00;462425,00;7,70;0,50;11,10
Kiribati;66,10;2,00;;75,00;;77,10;;79,00;1,21;75,00;0,10;1685,00;11458,00;0,10;0,60;11,90
Latvia;74,40;156,00;;92,00;36,00;6,70;;92,00;5,88;92,00;0,10;15725,00;1993782,00;2,20;0,80;16,00
Lebanon;74,80;99,00;1,00;81,00;112,00;65,40;1,00;75,00;6,39;81,00;0,10;8161,00;563279,00;4,90;0,80;13,30
Lesotho;52,10;522,00;4,00;93,00;;32,00;6,00;9,00;1,62;93,00;9,40;1175,00;2145785,00;5,60;0,50;10,80
Liberia;58,10;329,00;8,00;5,00;34,00;26,70;11,00;49,00;1,40;5,00;0,90;458,00;439737,00;6,50;0,40;9,90
Lithuania;73,40;169,00;;94,00;11,00;61,90;;93,00;6,55;93,00;0,10;16555,00;2932367,00;2,70;0,80;16,50
Luxembourg;81,70;65,00;;94,00;;6,90;;99,00;6,94;99,00;0,10;119173,00;556319,00;0,90;0,90;13,90
Madagascar;65,10;225,00;29,00;73,00;3,00;2,00;39,00;73,00;3,40;73,00;0,30;452,00;2358981,00;7,10;0,50;10,30
Malawi;57,60;377,00;27,00;91,00;3,00;19,20;40,00;87,00;11,38;91,00;5,10;355,00;1768838,00;6,30;0,50;10,70
Malaysia;74,80;126,00;4,00;96,00;221,00;39,50;4,00;97,00;4,17;97,00;0,10;11184,00;322817,00;7,40;0,80;13,00
Maldives;78,20;62,00;;99,00;;26,20;;99,00;13,73;99,00;0,10;7716,00;41,00;13,70;0,70;12,70
Mali;57,80;272,00;52,00;73,00;290,00;23,20;85,00;74,00;6,86;73,00;1,60;826,00;16962846,00;7,70;0,40;8,20
Malta;81,40;55,00;;9,00;;69,20;;99,00;9,75;99,00;0,10;2619,00;427364,00;0,80;0,80;14,30
Mauritania;63,00;26,00;8,00;84,00;14,00;3,10;12,00;84,00;3,77;84,00;0,90;1327,00;46392,00;7,70;0,50;8,50
Mauritius;74,20;148,00;;97,00;;32,80;;98,00;4,81;97,00;0,10;1154,00;126934,00;6,90;0,80;14,70
Mexico;76,60;122,00;31,00;84,00;3,00;62,80;36,00;87,00;6,30;87,00;0,10;1452,00;1242216,00;1,50;0,80;13,10
Mongolia;68,40;225,00;1,00;99,00;;51,50;1,00;99,00;4,73;99,00;0,10;4182,00;2923896,00;2,30;0,70;14,80
Montenegro;75,90;17,00;;87,00;;61,30;;91,00;6,42;91,00;0,10;7378,00;62181,00;1,90;0,80;15,10
Morocco;74,10;96,00;18,00;99,00;10,00;57,50;21,00;99,00;5,91;99,00;0,10;3155,00;3431882,00;6,20;0,60;12,10
Mozambique;56,70;375,00;61,00;79,00;9,00;22,20;84,00;79,00;6,98;79,00;4,10;623,00;27212382,00;3,50;0,40;9,10
Myanmar;66,40;21,00;40,00;88,00;122,00;22,90;52,00;88,00;2,28;88,00;0,30;1263,00;51924182,00;13,10;0,50;9,10
Namibia;65,90;242,00;2,00;88,00;477,00;34,90;3,00;88,00;8,93;88,00;2,20;5421,00;237992,00;8,50;0,60;11,70
Nepal;69,60;158,00;18,00;92,00;1279,00;18,50;22,00;92,00;5,80;92,00;0,10;76,00;28323241,00;16,30;0,60;12,40
Netherlands;81,70;58,00;1,00;92,00;140,00;61,60;1,00;96,00;1,90;96,00;0,10;52157,00;168658,00;0,90;0,90;18,10
Nicaragua;74,50;148,00;2,00;98,00;;53,20;3,00;99,00;9,40;98,00;0,10;1975,00;613997,00;1,70;0,60;11,60
Niger;61,40;223,00;49,00;68,00;1142,00;18,90;88,00;67,00;5,82;68,00;0,50;44,00;19148219,00;9,60;0,30;5,30
Nigeria;53,60;362,00;490,00;49,00;6855,00;24,70;759,00;49,00;3,67;49,00;3,90;3222,00;1764652,00;9,90;0,50;10,00
Pakistan;66,20;162,00;359,00;72,00;1370,00;24,70;442,00;72,00;2,61;72,00;0,10;1317,00;185546257,00;19,80;0,50;7,80
Panama;77,60;119,00;1,00;8,00;;57,10;1,00;8,00;8,30;8,00;0,10;12594,00;393986,00;1,80;0,80;13,00
Papua New Guinea;62,70;278,00;10,00;67,00;2299,00;47,90;13,00;64,00;4,26;73,00;0,70;2183,00;7755785,00;1,30;0,50;10,00
Paraguay;73,90;147,00;3,00;87,00;;49,40;3,00;83,00;9,81;87,00;0,20;4713,00;6552584,00;1,90;0,70;12,30
Peru;75,30;125,00;8,00;88,00;;54,90;10,00;78,00;5,47;88,00;0,10;6492,00;3973354,00;1,10;0,70;13,40
Philippines;68,40;214,00;54,00;67,00;58848,00;24,80;68,00;77,00;4,71;67,00;0,10;2843,00;112249,00;9,70;0,70;11,70
Poland;77,30;12,00;2,00;96,00;;61,10;2,00;94,00;6,35;98,00;0,10;14342,00;3811735,00;2,10;0,90;16,40
Portugal;89,00;78,00;;98,00;;6,90;;98,00;9,50;98,00;0,10;2278,00;14162,00;0,50;0,80;16,80
Romania;74,80;135,00;2,00;94,00;59,00;59,90;2,00;94,00;5,57;94,00;0,10;12,00;1998979,00;2,80;0,80;14,70
Russian Federation;73,00;225,00;13,00;97,00;4711,00;59,90;15,00;97,00;7,70;97,00;0,10;14126,00;143819666,00;2,30;0,80;14,90
Rwanda;65,70;23,00;12,00;98,00;10,00;2,80;16,00;98,00;7,53;98,00;0,40;77,00;11345357,00;5,80;0,50;10,80
Samoa;73,80;128,00;;56,00;;74,30;;58,00;7,22;63,00;0,10;4179,00;19229,00;0,10;0,70;12,90
Sao Tome and Principe;67,30;191,00;;95,00;;3,10;;95,00;8,35;95,00;0,20;1822,00;191266,00;5,40;0,60;11,10
Senegal;66,40;192,00;19,00;89,00;32,00;23,80;27,00;85,00;4,66;89,00;0,30;152,00;14546111,00;9,50;0,50;9,10
Serbia;75,40;123,00;1,00;92,00;37,00;59,40;1,00;93,00;1,37;93,00;0,10;62,00;713576,00;2,10;0,80;14,30
Seychelles;73,00;17,00;;99,00;;36,20;;99,00;3,37;99,00;0,10;1558,00;91359,00;6,00;0,80;13,20
Sierra Leone;48,10;463,00;23,00;83,00;1006,00;23,80;32,00;83,00;11,90;83,00;0,60;78,00;779162,00;7,40;0,40;9,50
Solomon Islands;68,80;183,00;;88,00;;49,70;;94,00;5,50;88,00;0,10;30,00;57554,00;1,20;0,50;9,60
South Africa;62,00;347,00;42,00;8,00;66,00;5,30;52,00;77,00;8,80;77,00;3,70;6480,00;54146735,00;5,90;0,70;13,00
Spain;82,60;58,00;1,00;96,00;154,00;66,00;1,00;97,00;9,30;97,00;0,10;296,00;4648882,00;0,50;0,90;17,60
Sri Lanka;74,70;141,00;3,00;99,00;1686,00;22,70;3,00;99,00;3,50;99,00;0,10;383,00;2771,00;15,00;0,80;14,00
Suriname;71,40;178,00;;85,00;;57,70;;85,00;5,69;85,00;0,40;9564,00;547928,00;3,50;0,70;12,70
Swaziland;58,40;382,00;2,00;98,00;;31,80;3,00;98,00;9,25;98,00;7,30;3464,00;129597,00;4,30;0,50;11,40
Sweden;82,30;54,00;;67,00;26,00;59,00;;98,00;11,93;98,00;0,10;5918,00;969611,00;1,30;0,90;15,80
Tajikistan;69,60;162,00;10,00;97,00;;39,90;11,00;94,00;6,88;97,00;0,20;114,00;8362745,00;3,70;0,60;11,30
Thailand;74,60;152,00;8,00;99,00;;32,40;10,00;99,00;4,12;99,00;0,10;5942,00;68416772,00;7,80;0,70;13,60
Timor-Leste;68,00;155,00;2,00;77,00;47,00;17,00;2,00;76,00;1,48;77,00;0,10;1154,00;1212814,00;11,10;0,60;12,50
Togo;59,70;285,00;13,00;87,00;577,00;23,70;20,00;85,00;5,25;87,00;1,00;62,00;7228915,00;6,40;0,50;12,00
Tonga;73,30;135,00;;8,00;;74,80;;82,00;5,18;8,00;0,10;4192,00;15782,00;0,10;0,70;14,30
Trinidad and Tobago;71,10;171,00;;92,00;;46,00;;94,00;5,93;92,00;0,30;19325,00;1354493,00;6,00;0,80;12,70
Tunisia;75,10;12,00;3,00;98,00;15,00;6,20;3,00;98,00;7,00;98,00;0,10;4272,00;1114398,00;6,40;0,70;14,70
Turkey;75,50;17,00;16,00;96,00;565,00;65,30;19,00;96,00;5,41;96,00;0,10;12127,00;773628,00;4,70;0,80;14,50
Turkmenistan;66,00;217,00;7,00;97,00;;47,70;8,00;98,00;2,70;98,00;0,10;7962,00;5466241,00;3,30;0,70;10,80
Uganda;61,50;38,00;68,00;78,00;314,00;18,10;97,00;82,00;7,22;78,00;3,20;719,00;38833338,00;5,60;0,50;10,00
Ukraine;78,00;23,00;4,00;22,00;;6,70;5,00;45,00;7,10;23,00;0,20;315,00;45271947,00;2,40;0,70;15,20
Uruguay;76,80;117,00;;95,00;;63,40;;95,00;8,58;95,00;0,10;16738,00;3419546,00;1,40;0,80;15,50
Uzbekistan;69,20;184,00;16,00;99,00;8,00;43,90;18,00;99,00;5,84;99,00;0,10;25,00;37577,00;3,10;0,70;12,10
Vanuatu;71,70;134,00;;64,00;10,00;52,50;;65,00;5,20;64,00;0,10;3148,00;25885,00;1,40;0,60;10,80
Zambia;61,10;314,00;28,00;86,00;9,00;22,80;41,00;78,00;4,99;86,00;4,30;1739,00;1562974,00;6,20;0,60;12,50
Zimbabwe;59,20;371,00;23,00;91,00;;31,30;34,00;92,00;6,44;91,00;6,30;127,00;15411675,00;5,70;0,50;10,30
